,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,104,57,1836572,969000,855
1,35,66,289,14062,20,79200000,2692800,2376
2,23,89,324,2486,28,74080000,3631200,3204
3,35,61,4,59380026,0,961868,622200,549
4,33,81,529,23490,9,568000000,3304800,2916
5,35,93,529,5591,15,625500000,3794400,3348
6,30,89,784,93,34,545000000,3631200,3204
7,49,71,36,1679,46,1251220,724200,639
8,30,87,784,16,42,556000000,3549600,3132
9,10,61,196,2184674,4,16160000,2488800,2196
10,22,95,1,50319530,0,918300,969000,855
11,45,73,81,326,50,1304342,2978400,2628
12,24,76,25,46354,32,834028,775200,684
13,43,96,1,37989678,0,1553094,979200,864
14,26,65,144,914914,2,67200000,2652000,2340
15,43,93,361,38,45,111440000,3794400,3348
16,24,78,81,222,52,839720,3182400,2808
17,19,98,81,184,52,882190,3998400,3528
18,39,73,25,428049,21,1310150,744600,657
19,46,65,576,13260,12,515500000,2652000,2340
20,26,94,81,48,58,1129888,3835200,3384
21,17,62,484,77,46,42800000,2529600,2232
22,28,62,289,10604,22,66960000,2529600,2232
23,16,90,16,39483458,2,602932,918000,810
24,21,62,900,374,30,329000000,2529600,2232
25,10,65,841,17532,18,100000000,2652000,2340
26,14,74,784,2314,24,201000000,3019200,2664
27,13,95,225,69381,17,28480000,3876000,3420
28,25,76,441,38,47,70960000,3100800,2736
29,40,79,25,15681,36,1163754,805800,711
30,40,96,9,38435787,0,1522542,979200,864
31,20,72,225,147094,11,55360000,2937600,2592
32,48,70,256,45550,14,93600000,2856000,2520
33,35,60,900,141,33,448500000,2448000,2160
34,36,65,1,55329259,0,1044362,663000,585
35,22,60,576,38955,9,342000000,2448000,2160
36,48,91,16,1651674,14,1634582,928200,819
37,10,85,625,17394,18,100000000,3468000,3060
38,13,71,484,178,44,27760000,2896800,2556
39,23,79,289,8428,23,66720000,3223200,2844
40,49,98,784,2,50,723500000,3998400,3528
41,19,75,9,58405279,0,847174,765000,675
42,31,64,36,2696,45,862904,652800,576
43,33,95,36,165,56,1199642,969000,855
44,29,79,841,31,39,548000000,3223200,2844
45,11,87,729,1316,29,114000000,3549600,3132
46,10,92,625,11102,20,100000000,3753600,3312
47,23,89,196,74969,13,69600000,3631200,3204
48,15,99,100,655701,6,35840000,4039200,3564
49,20,68,36,24579,35,856824,693600,612
50,31,85,256,73886,12,89440000,3468000,3060
51,24,74,169,619113,4,63040000,3019200,2664
52,46,80,676,733,24,641000000,3264000,2880
53,45,70,289,119523,10,86880000,2856000,2520
54,43,71,256,16341,19,85200000,2896800,2556
55,19,84,4,54977438,0,862128,856800,756
56,32,68,81,734,47,925700,2774400,2448
57,19,82,324,2289,30,50640000,3345600,2952
58,45,76,900,89,34,573000000,3100800,2736
59,16,68,729,2930,22,249000000,2774400,2448
60,39,96,441,2,61,111920000,3916800,3456
61,10,96,36,7817,41,281194,979200,864
62,46,71,729,867,24,542000000,2896800,2556
63,32,94,121,19918,17,109120000,3835200,3384
64,13,75,576,24278,14,178000000,3060000,2700
65,42,93,324,122,40,105920000,3794400,3348
66,32,79,484,13,51,91360000,3223200,2844
67,34,73,729,1391,22,527500000,2978400,2628
68,11,83,441,18,56,18240000,3386400,2988
69,39,82,900,4,48,589500000,3345600,2952
70,24,76,784,40,39,418000000,3100800,2736
71,48,91,121,363983,4,108720000,3712800,3276
72,25,75,81,702,47,814806,3060000,2700
73,31,98,729,36,38,586500000,3998400,3528
74,43,68,49,1079,48,1273904,693600,612
75,23,81,441,8,54,70560000,3304800,2916
76,28,86,16,4961513,10,1186942,877200,774
77,40,89,81,29,60,1587984,3631200,3204
78,32,86,400,167,39,96400000,3508800,3096
79,30,79,9,32563346,2,1059600,805800,711
80,44,82,225,64876,12,102480000,3345600,2952
81,18,95,100,251646,9,49360000,3876000,3420
82,40,81,9,39062287,0,1633814,826200,729
83,50,69,169,547271,3,90640000,2815200,2484
84,31,67,324,4832,25,75360000,2733600,2412
85,12,95,144,749626,7,24000000,3876000,3420
86,43,74,900,18,41,594000000,3019200,2664
87,13,67,841,281,34,178000000,2733600,2412
88,24,97,1,47457602,0,1017744,989400,873
89,41,82,36,263,54,1291776,836400,738
90,17,63,484,187,42,42880000,2570400,2268
91,18,79,361,217,41,45760000,3223200,2844
92,15,95,529,9921,17,223000000,3876000,3420
93,19,99,361,74,45,55440000,4039200,3564
94,46,70,729,1456,22,504000000,2856000,2520
95,23,94,225,30457,17,70000000,3835200,3384
96,26,72,900,55,37,477500000,2937600,2592
97,33,87,529,3617,17,619000000,3549600,3132
98,26,84,676,1126,23,521000000,3427200,3024
99,23,65,36,29926,35,592514,663000,585
100,16,100,361,63,47,40720000,4080000,3600
101,14,89,841,125,37,204000000,3631200,3204
102,29,93,576,3156,18,567000000,3794400,3348
103,27,62,1,64904383,0,808328,632400,558
104,50,82,900,3,50,614000000,3345600,2952
105,31,81,81,313,50,1164932,3304800,2916
106,17,77,25,3532877,13,670714,785400,693
107,36,98,36,172,55,1632032,999600,882
108,10,92,676,8882,21,100000000,3753600,3312
109,13,74,25,932320,20,381816,754800,666
110,39,70,225,123709,10,83840000,2856000,2520
111,46,84,25,365156,21,1569078,856800,756
112,22,82,841,61,37,424500000,3345600,2952
113,44,93,144,227607,6,111280000,3794400,3348
114,15,90,576,5164,20,219500000,3672000,3240
115,44,79,16,5305615,9,1623930,805800,711
116,32,99,676,150,31,656500000,4039200,3564
